Category,Name,Description,Manufacturer,Dosage,Source
human,List of corticosteroids,,,,https://en.wikipedia.org/wiki/List_of_corticosteroids
human,List of designer drugs,,,,https://en.wikipedia.org/wiki/List_of_designer_drugs
human,List of drugs affected by grapefruit,,,,https://en.wikipedia.org/wiki/List_of_drugs_affected_by_grapefruit
human,List of nasal decongestants,"A decongestant , or nasal decongestant , is a type of pharmaceutical drug that is used to relieve nasal congestion in the upper respiratory tract . The active ingredient in most decongestants is either pseudoephedrine or phenylephrine (the latter of which has disputed effectiveness ). Intranasal corticosteroids can also be used as decongestants and antihistamines can be used to alleviate runny nose , nasal itch , and sneezing . [ 1 ]",,,https://en.wikipedia.org/wiki/Decongestant#Lists
human,List of nonsteroidal anti-inflammatory drug,,,,https://en.wikipedia.org/wiki/Nonsteroidal_anti-inflammatory_drug#Classification
human,List of opioids,,,,https://en.wikipedia.org/wiki/List_of_opioids
human,List of progestogens,,,,https://en.wikipedia.org/wiki/List_of_progestogens
human,List of psychotropic medications,This is a list of psychotropic medications that are currently being marketed.,,,https://en.wikipedia.org/wiki/List_of_psychotropic_medications
human,List of selective estrogen receptor modulators,,,,https://en.wikipedia.org/wiki/List_of_SERMs
human,Lists of investigational drugs,,,,https://en.wikipedia.org/wiki/Lists_of_investigational_drugs
human,List of drugs known for off-label use,Pharmaceutical drugs become known for off-label use when publications begin discussing how they can be used for off-label treatment of medical conditions .,,,https://en.wikipedia.org/wiki/List_of_drugs_known_for_off-label_use
human,List of psychiatric medications,This is an alphabetical list of psychiatric medications used by psychiatrists and other physicians to treat mental illness or distress.,,,https://en.wikipedia.org/wiki/List_of_psychiatric_medications
human,List of psychiatric medications by condition treated,This is a list of psychiatric medications used by psychiatrists and other physicians to treat mental illness or distress.,,,https://en.wikipedia.org/wiki/List_of_psychiatric_medications_by_condition_treated
human,List of veterinary drugs,,,,https://en.wikipedia.org/wiki/List_of_veterinary_drugs
human,List of controlled drugs in the United Kingdom,,,,https://en.wikipedia.org/wiki/List_of_controlled_drugs_in_the_United_Kingdom
human,List of drugs banned from the Olympics,,,,https://en.wikipedia.org/wiki/List_of_drugs_banned_from_the_Olympics
human,List of Schedule I drugs (US),This is the list of Schedule I controlled substances in the United States as defined by the Controlled Substances Act . [ 1 ] The following findings are required for substances to be placed in this schedule: [ 2 ],,,https://en.wikipedia.org/wiki/List_of_Schedule_I_drugs_(US)
human,List of Schedule II drugs (US),"This is the list of Schedule II controlled substances in the United States as defined by the Controlled Substances Act . [ 1 ] The following findings are required, by section 202 of that Act, for substances to be placed in this schedule:",,,https://en.wikipedia.org/wiki/List_of_Schedule_II_drugs_(US)
human,List of Schedule III drugs (US),This is the list of Schedule III controlled substances in the United States as defined in section 202 of the Controlled Substances Act ( 21 U.S.C. § 812 ) and 21 CFR 1308.13 . The following findings are required for substances to be placed in this schedule:,,,https://en.wikipedia.org/wiki/List_of_Schedule_III_drugs_(US)
human,List of Schedule IV drugs (US),This is the list of Schedule IV controlled substances in the United States as defined by the Controlled Substances Act . [ 1 ] The following findings are required for substances to be placed in this schedule: [ 2 ],,,https://en.wikipedia.org/wiki/List_of_Schedule_IV_drugs_(US)
human,List of Schedule V drugs (US),This is the list of Schedule V controlled substances in the United States as defined by the Controlled Substances Act . [ 1 ] The following findings are required for substances to be placed in this schedule: [ 2 ],,,https://en.wikipedia.org/wiki/List_of_Schedule_V_drugs_(US)
human,List of withdrawn drugs,,,,https://en.wikipedia.org/wiki/List_of_withdrawn_drugs
human,List of World Health Organization Essential Medicines,,,,https://en.wikipedia.org/wiki/List_of_World_Health_Organization_Essential_Medicines
human,Development and discovery of SSRI drugs,"Selective serotonin reuptake inhibitors , or serotonin-specific re-uptake inhibitor ( SSRIs ), are a class of chemical compounds that have application as antidepressants and in the treatment of depression and other psychiatric disorders . SSRIs are therapeutically useful in the treatment of panic disorder (PD), posttraumatic stress disorder (PTSD), social anxiety disorder (also known as social phobia), obsessive-compulsive disorder (OCD), premenstrual dysphoric disorder (PMDD), and anorexia . There is also clinical evidence of the value of SSRIs in the treatment of the symptoms of schizophrenia and their ability to prevent cardiovascular diseases. [ 1 ]",,,https://en.wikipedia.org/wiki/Development_and_discovery_of_SSRI_drugs
human,Channel modulator,"A channel modulator , or ion channel modulator , is a type of drug which modulates ion channels . They include channel blockers and channel openers . [ 1 ]",,,https://en.wikipedia.org/wiki/Channel_modulator
human,List of monoclonal antibodies,"Therapeutic, diagnostic and preventive monoclonal antibodies are clones of a single parent cell. When used as drugs, the International Nonproprietary Names (INNs) end in -mab. The remaining syllables of the INNs, as well as the column Source , are explained in Nomenclature of monoclonal antibodies .",,,https://en.wikipedia.org/wiki/List_of_monoclonal_antibodies
human,List of off-label promotion pharmaceutical settlements,,,,https://en.wikipedia.org/wiki/List_of_off-label_promotion_pharmaceutical_settlements
human,List of schedules for drugs and poisons,,,,https://en.wikipedia.org/wiki/List_of_schedules_for_drugs_and_poisons
human,List of steroid abbreviations,"The steroid hormones are referred to by various abbreviations in the biological literature.  The purpose of this list is to give commonly used abbreviations for steroid hormones, with supporting references to the literature.",,,https://en.wikipedia.org/wiki/List_of_steroid_abbreviations
human,List of plants used for smoking,,,,https://en.wikipedia.org/wiki/List_of_plants_used_for_smoking
human,List of neurosteroids,,,,https://en.wikipedia.org/wiki/List_of_neurosteroids
veterinary,Main page,""" Slug "" is a song by Passengers, a side project of musician Brian Eno and rock band U2 (pictured) . It was released on 7 November 1995 on Passengers' sole release, the experimental album Original Soundtracks 1 . The song was almost left off the album before it was rediscovered later during the recording sessions. Though Eno made most of the creative decisions during the sessions, ""Slug"" was one of the few tracks that the members from U2 tried to craft themselves. Lyrically, it portrays a desolate soul with the confusion of romance and faith. U2 and Eno tried to create a visual suggestion from the music that was more important than the story within the lyrics. In ""Slug"", the instrumentation is intended as visual music representing the lights turning on in a city at night. The group primarily drew inspiration for the song from U2's experiences in Tokyo at the conclusion of their Zoo TV Tour in 1993. ""Slug"" has been praised as one of the best songs on the album by critics from various publications. ( Full article... )",,,https://en.wikipedia.org/wiki/Main_Page
veterinary,Article,,,,https://en.wikipedia.org/wiki/List_of_veterinary_drugs
veterinary,International Nonproprietary Name,"An international nonproprietary name ( INN ) is an official generic and nonproprietary name given to a pharmaceutical substance or an active ingredient , [ 1 ] encompassing compounds , peptides and low-molecular-weight proteins (e.g., insulin , hormones , cytokines ), as well as complex biological products, such as those used for gene therapy . [ 2 ] INNs are intended to make communication more precise by providing a unique standard name for each active ingredient, to avoid prescribing errors. [ 3 ] The INN system was initiated by the World Health Organization (WHO) in 1953. [ 4 ]",,,https://en.wikipedia.org/wiki/International_Nonproprietary_Name
veterinary,British Approved Name,"A British Approved Name ( BAN ) is the official, non-proprietary, or generic name given to a pharmaceutical substance , as defined in the British Pharmacopoeia (BP) . [ 1 ] The BAN is also the official name used in some countries around the world, because starting in 1953, proposed new names were evaluated by a panel of experts from WHO in conjunction with the BP commission  to ensure naming consistency worldwide [ 2 ] (an effort leading to the International Nonproprietary Name system). There is also a British Approved Name (Modified) ( BANM ). [ 3 ]",,,https://en.wikipedia.org/wiki/British_Approved_Name
veterinary,United States Adopted Name,"A United States Adopted Name ( USAN ) is a unique nonproprietary name assigned to a medication marketed in the United States.  Each name is assigned by the USAN Council, which is co-sponsored by the American Medical Association (AMA), the United States Pharmacopeial Convention (USP), and the American Pharmacists Association (APhA).",,,https://en.wikipedia.org/wiki/United_States_Adopted_Name
veterinary,acepromazine,"Acepromazine , acetopromazine , or acetylpromazine (commonly known as ACP , Ace , or by the trade names Atravet or Acezine 2 , number depending on mg/ml dose) is a phenothiazine derivative antipsychotic drug. It was used in humans during the 1950s as an antipsychotic , [ 4 ] but is now almost exclusively used on animals as a sedative and antiemetic . A closely related analogue, chlorpromazine , is still used in humans.",,"IV , IM , SQ , oral [ 1 ] [ 2 ]",https://en.wikipedia.org/wiki/Acepromazine
veterinary,afoxolaner,Afoxolaner ( INN [ 5 ] ) is an insecticide and acaricide that belongs to the isoxazoline chemical compound group.,,By mouth,https://en.wikipedia.org/wiki/Afoxolaner
veterinary,antiparasitic,"Antiparasitics are a class of medications which are indicated for the treatment of parasitic diseases , such as those caused by helminths , [ 1 ] amoeba , [ 2 ] ectoparasites , parasitic fungi , [ 3 ] and protozoa , [ 1 ] among others. Antiparasitics target the parasitic agents of the infections by destroying them or inhibiting their growth; [ 4 ] they are usually effective against a limited number of parasites within a particular class. Antiparasitics are one of the antimicrobial drugs which include antibiotics that target bacteria , and antifungals that target fungi . They may be administered orally , intravenously or topically . [ 4 ] Overuse or misuse of antiparasitics can lead to the development of antimicrobial resistance .",,,https://en.wikipedia.org/wiki/Antiparasitic
veterinary,albendazole,,,By mouth,https://en.wikipedia.org/wiki/Albendazole
veterinary,alphaxolone,"Alfaxalone , also known as alphaxalone or alphaxolone and sold under the brand name Alfaxan and Faxone, is a neuroactive steroid and general anesthetic which is used currently in veterinary practice as an induction agent for anesthesia and as an injectable anesthetic. [ 1 ] [ 2 ] [ 3 ] Though it is more expensive than other induction agents, [ 4 ] it often preferred due to the lack of depressive effects on the cardiovascular system . The most common side effect seen in current veterinary practice is respiratory depression when Alfaxan is administered concurrently with other sedative and anesthetic drugs; when premedications are not given, veterinary patients also become agitated and hypersensitive when waking up.",,,https://en.wikipedia.org/wiki/Alfaxalone
veterinary,alprazolam,,,By mouth,https://en.wikipedia.org/wiki/Alprazolam
veterinary,altrenogest,"Altrenogest , sold under the brand names Swinemate and Altren manufactured by Aurora Pharmaceutical and Regumate manufactured by Merck, is a progestin of the 19-nortestosterone group which is widely used in veterinary medicine to suppress or synchronize estrus in horses and pigs . [ 3 ] [ 4 ] [ 5 ] [ 6 ] [ 7 ] It is available for veterinary use in both Europe (as Regumate) and the United States (as Matrix). [ 8 ]",,By mouth [ 1 ],https://en.wikipedia.org/wiki/Altrenogest
veterinary,amantadine,,,By mouth,https://en.wikipedia.org/wiki/Amantadine
veterinary,aminophylline,"Aminophylline is a compound of the bronchodilator theophylline with ethylenediamine in 2:1 ratio. The ethylenediamine improves solubility, and the aminophylline is usually found as a dihydrate . [ 2 ]",,"By mouth , intravenous therapy (IV)",https://en.wikipedia.org/wiki/Aminophylline
veterinary,amitraz,"Amitraz (development code BTS27419 ) is a non-systemic acaricide and insecticide [ 1 ] and has also been described as a scabicide . It was first synthesized by  the Boots Co. in England in 1969. [ 2 ] Amitraz has been found to have an insect repellent effect, works as an insecticide and also as a pesticide synergist . [ 3 ] Its effectiveness is traced back on alpha-adrenergic agonist activity , interaction with octopamine receptors of the central nervous system and inhibition of monoamine oxidases and prostaglandin synthesis. [ 4 ] Therefore, it leads to overexcitation and consequently paralysis and death in insects. Because amitraz is less harmful to mammals, amitraz is among many other purposes best known as insecticide against mite- or tick-infestation of dogs. [ 1 ] It is also widely used in the beekeeping industry as a control for the Varroa destructor mite, although there are reports of resistance. [ 5 ]",,,https://en.wikipedia.org/wiki/Amitraz
veterinary,amitriptyline,,,"Oral , intramuscular injection",https://en.wikipedia.org/wiki/Amitriptyline
veterinary,amlodipine,,,Oral,https://en.wikipedia.org/wiki/Amlodipine
veterinary,amoxicillin,,,"By mouth , intravenous ( bolus ), intramuscular",https://en.wikipedia.org/wiki/Amoxicillin
veterinary,apomorphine,,,"Subcutaneous , sublingual",https://en.wikipedia.org/wiki/Apomorphine
veterinary,artificial tears,Artificial tears are lubricating eye drops used to relieve dryness and irritation of the ocular surface. [ 1 ] Dry eye syndrome ( keratoconjunctivitis sicca ) is a common ocular surface disorder and is characterized by disruption of the tear film and increased inflammation . [ 2 ],,,https://en.wikipedia.org/wiki/Artificial_tears
veterinary,atenolol,,,"Oral , intravenous",https://en.wikipedia.org/wiki/Atenolol
veterinary,atipamezole,,,Intramuscular,https://en.wikipedia.org/wiki/Atipamezole
veterinary,bedinvetmab,,,Subcutaneous,https://en.wikipedia.org/wiki/Bedinvetmab
veterinary,nerve growth factor inhibitor,"Nerve growth factor (NGF) inhibitors are a class of compounds that inhibit the action of the neurotrophin nerve growth factor by targeting NGF molecules or NGF receptors . NGF inhibitors have demonstrated therapeutic potential in treatment of certain chronic pain disorders , including osteoarthritis , and chronic lower back pain. [ 1 ] Two NGF inhibitors ( tanezumab , and fasinumab ) are undergoing clinical trials as potential treatments for pain disorders. [ 2 ]",,,https://en.wikipedia.org/wiki/Nerve_growth_factor_inhibitor
veterinary,monoclonal antibody,,,,https://en.wikipedia.org/wiki/Monoclonal_antibody
veterinary,benazepril,,,By mouth,https://en.wikipedia.org/wiki/Benazepril
veterinary,ACE-inhibitor,,,,https://en.wikipedia.org/wiki/ACE-inhibitor
veterinary,kidney failure,,,,https://en.wikipedia.org/wiki/Kidney_failure
veterinary,bethanechol,,,"By mouth , subcutaneous",https://en.wikipedia.org/wiki/Bethanechol
veterinary,bexagliflozin,,,By mouth,https://en.wikipedia.org/wiki/Bexagliflozin
veterinary,antidiabetic medication,"Drugs used in diabetes treat types of diabetes mellitus by decreasing glucose levels in the blood . Most GLP-1 receptor agonists ( liraglutide , exenatide , semaglutide, tirzepatide pramlintide and others) are administered by injection. Other anti-diabetes medications (including semaglutide as Rybelsus) are administered orally and are thus called oral hypoglycemic agents or oral antihyperglycemic agents. There are different classes of hypoglycemic drugs, and selection of the appropriate agent depends on the nature of diabetes, age, and situation of the person, as well as other patient factors.",,,https://en.wikipedia.org/wiki/Antidiabetic_medication
veterinary,bupivacaine,,,"Parenteral , topical , implant",https://en.wikipedia.org/wiki/Bupivacaine
veterinary,buprenorphine,,,"Sublingual , buccal , intramuscular , intravenous , transdermal , intranasal , rectal , subcutaneous",https://en.wikipedia.org/wiki/Buprenorphine
veterinary,narcotic,"The term narcotic ( / n ɑːr ˈ k ɒ t ɪ k / , from ancient Greek ναρκῶ narkō , ""I make numb"") originally referred medically to any psychoactive compound with numbing or paralyzing properties. [ 1 ] In the United States, it has since become associated with opiates and opioids , commonly morphine and heroin , as well as derivatives of many of the compounds found within raw opium latex. The primary three are morphine , codeine , and thebaine (while thebaine itself is only very mildly psychoactive, it is a crucial precursor in the vast majority of semi-synthetic opioids, such as oxycodone or hydrocodone ).",,,https://en.wikipedia.org/wiki/Narcotic
veterinary,butorphanol,,,"Oral , sublingual , buccal , intranasal , intravenous",https://en.wikipedia.org/wiki/Butorphanol
veterinary,carprofen,,,"By mouth , injection",https://en.wikipedia.org/wiki/Carprofen
veterinary,NSAID,,,,https://en.wikipedia.org/wiki/NSAID
veterinary,cefpodoxime,"Cefpodoxime is an oral, third-generation cephalosporin antibiotic available in various generic preparations. It is active against both Gram-positive and Gram-negative organisms with notable exceptions including Pseudomonas aeruginosa , Enterococcus , and Bacteroides fragilis . It is typically used to treat acute otitis media , pharyngitis , sinusitis , and gonorrhea. It also finds use as oral continuation therapy when intravenous cephalosporins (such as ceftriaxone ) are no longer necessary for continued treatment.",,By mouth,https://en.wikipedia.org/wiki/Cefpodoxime
veterinary,cephalexin,,,By mouth,https://en.wikipedia.org/wiki/Cephalexin
veterinary,ciprofloxacin,,,"By mouth , intravenous , topical ( ear drops , eye drops )",https://en.wikipedia.org/wiki/Ciprofloxacin
veterinary,clamoxyquine,"Clamoxyquine ( INN ) or clamoxyquin (former BAN ), as the pamoate or hydrochloride salt, is an antiamebic and antidiarrheal drug.",,,https://en.wikipedia.org/wiki/Clamoxyquine
veterinary,salmonids,,,,https://en.wikipedia.org/wiki/Salmonidae
veterinary,myxozoan,,,,https://en.wikipedia.org/wiki/Myxozoan
veterinary,parasite,,,,https://en.wikipedia.org/wiki/Parasite
veterinary,Myxobolus cerebralis,,,,https://en.wikipedia.org/wiki/Myxobolus_cerebralis
veterinary,clavamox,,,"By mouth , intravenous [ 2 ]",https://en.wikipedia.org/wiki/Clavamox
veterinary,clindamycin,,,"By mouth , topical , intravenous , intravaginal",https://en.wikipedia.org/wiki/Clindamycin
veterinary,clomipramine,,,"By mouth , intravenous [ 2 ]",https://en.wikipedia.org/wiki/Clomipramine
veterinary,deracoxib,"Deracoxib (trade name Deramaxx ) is a nonsteroidal anti-inflammatory drug (NSAID) of the coxib class, used in dogs to treat pain associated with osteoarthritis , or to prevent pain following orthopedic or dental surgery. It is available as beef-flavored tablets. [ 1 ]",,Oral,https://en.wikipedia.org/wiki/Deracoxib
veterinary,dexamethasone,,,"By mouth , intravenous , intramuscular , subcutaneous , intraosseous , intravitreal , eye drop",https://en.wikipedia.org/wiki/Dexamethasone
veterinary,diazepam,,,"Oral , intramuscular , intravenous , rectal , intranasal , [ 6 ] buccal",https://en.wikipedia.org/wiki/Diazepam
veterinary,dichlorophene,"Dichlorophen is an anticestodal agent , fungicide, germicide, and antimicrobial agent. [ 2 ] It is used in combination with toluene for the removal of parasites such as ascarids , hookworms , and tapeworms from dogs and cats . [ 3 ] In 2025, dichlorophen was reported to function as a tubulin binding mitotic inhibitor . [ 4 ]",,,https://en.wikipedia.org/wiki/Dichlorophene
veterinary,fungicide,"Fungicides are pesticides used to kill parasitic fungi or their spores . [ 1 ] [ 2 ] Fungi can cause serious damage in agriculture , resulting in losses of yield and quality. Fungicides are used both in agriculture and to fight fungal infections in animals , including humans. Fungicides are also used to control oomycetes , which are not taxonomically /genetically fungi, although sharing similar methods of infecting plants. Fungicides can either be contact, translaminar or systemic. Contact fungicides are not taken up into the plant tissue and protect only the plant where the spray is deposited. Translaminar fungicides redistribute the fungicide from the upper, sprayed leaf surface to the lower, unsprayed surface. Systemic fungicides are taken up and redistributed through the xylem vessels. Few fungicides move to all parts of a plant. Some are locally systemic, and some move upward. [ 3 ] [ 4 ]",,,https://en.wikipedia.org/wiki/Fungicide
veterinary,germicide,,,,https://en.wikipedia.org/wiki/Germicide
